congress,district,state,party,name,dwnom1,dwnom2
80,0,USA,Democrat,TRUMAN,-0.275999993,0.016000001
80,1,ALABAMA,Democrat,BOYKIN  F.,-0.026000001,0.796000004
80,2,ALABAMA,Democrat,GRANT  G.,-0.041999999,0.999000013
80,3,ALABAMA,Democrat,ANDREWS  G.,-0.008,1.004999995
80,4,ALABAMA,Democrat,HOBBS  S.,-0.082000002,1.065999985
80,5,ALABAMA,Democrat,RAINS  A.,-0.170000002,0.870000005
80,6,ALABAMA,Democrat,JARMAN  P.,-0.123999998,0.99000001
80,7,ALABAMA,Democrat,MANASCO  C.,-0.030999999,0.89200002
80,8,ALABAMA,Democrat,JONES  R.,-0.224999994,0.888000011
80,9,ALABAMA,Democrat,BATTLE  L.,-0.083999999,0.842000008
80,98,ARIZONA,Democrat,HARLESS  R.,-0.171000004,0.096000001
80,98,ARIZONA,Democrat,MURDOCK  J.,-0.241999999,0.379999995
80,1,ARKANSA,Democrat,GATHINGS,0.079999998,0.926999986
80,2,ARKANSA,Democrat,MILLS  W.,-0.108000003,0.907000005
80,3,ARKANSA,Democrat,TRIMBLE  J.,-0.218999997,0.920000017
80,4,ARKANSA,Democrat,CRAVENS  F.,0.149000004,1.046000004
80,5,ARKANSA,Democrat,HAYS  B.,-0.169,0.726999998
80,6,ARKANSA,Democrat,NORRELL  W.,0.050999999,1.01699996
80,7,ARKANSA,Democrat,HARRIS  O.,-0.050999999,0.90200001
80,1,CALIFOR,Democrat,LEA  C.,-0.039999999,0.382999986
80,2,CALIFOR,Democrat,ENGLE  C.,-0.068999998,0.112999998
80,3,CALIFOR,Republican,JOHNSON  L.,0.114,-0.25
80,4,CALIFOR,Democrat,HAVENNER,-0.354000002,-0.196999997
80,5,CALIFOR,Republican,WELCH  R.,-0.158000007,-0.976000011
80,6,CALIFOR,Democrat,MILLER  G.,-0.397000015,0.211999997
80,7,CALIFOR,Republican,ALLEN  J.,0.252999991,-0.342000008
80,8,CALIFOR,Republican,ANDERSON,0.25,-0.050999999
80,9,CALIFOR,Republican,GEARHART,0.215000004,-0.105999999
80,10,CALIFOR,Democrat,ELLIOTT  A.,0.149000004,0.405000001
80,11,CALIFOR,Republican,BRAMBLETT,0.294,-0.243000001
80,12,CALIFOR,Republican,NIXON  R.,0.173999995,-0.345999986
80,13,CALIFOR,Republican,POULSON  N.,0.194999993,-0.483999997
80,14,CALIFOR,Democrat,DOUGLAS  H.,-0.527999997,-0.216999993
80,15,CALIFOR,Republican,MCDONOUGH,0.122000001,-0.458000004
80,16,CALIFOR,Republican,JACKSON  D.,0.217999995,-0.349000007
80,17,CALIFOR,Democrat,KING  C.,-0.375,0.097999997
80,18,CALIFOR,Republican,BRADLEY  W.,0.241999999,-0.425999999
80,19,CALIFOR,Democrat,HOLIFIELD,-0.421999991,0.244000003
80,20,CALIFOR,Republican,HINSHAW  C.,0.160999998,-0.321999997
80,21,CALIFOR,Democrat,SHEPPARD,-0.172999993,0.273000002
80,22,CALIFOR,Republican,PHILLIPS,0.416000009,-0.272000015
80,23,CALIFOR,Republican,FLETCHER,0.237000003,-0.395000011
80,1,COLORAD,Democrat,CARROLL  J.,-0.451999992,0.163000003
80,2,COLORAD,Republican,HILL  W.,0.256999999,-0.129999995
80,3,COLORAD,Republican,CHENOWETH,0.233999997,-0.259000003
80,4,COLORAD,Republican,ROCKWELL,0.326000005,-0.025
80,1,CONNECT,Republican,MILLER  W.,0.090000004,-0.699999988
80,2,CONNECT,Republican,SEELY-BROWN,0.100000001,-0.764999986
80,3,CONNECT,Republican,FOOTE  E.B.,0.116999999,-0.79400003
80,4,CONNECT,Republican,LODGE  J.D.,0.075999998,-0.716000021
80,5,CONNECT,Republican,PATTERSON,0.180000007,-0.73299998
80,99,CONNECT,Republican,SADLAK  A.,0.225999996,-0.674000025
80,1,DELAWAR,Republican,BOGGS  J.,0.196999997,-0.456999987
80,1,FLORIDA,Democrat,PETERSON,-0.056000002,0.790000021
80,2,FLORIDA,Democrat,PRICE  E.,-0.016000001,0.795000017
80,3,FLORIDA,Democrat,SIKES  R.,-0.045000002,0.90200001
80,4,FLORIDA,Democrat,SMATHERS,-0.096000001,0.833999991
80,5,FLORIDA,Democrat,HENDRICKS,-0.023,0.739000022
80,6,FLORIDA,Democrat,ROGERS  D.,0.021,0.870999992
80,1,GEORGIA,Democrat,PRESTON  P.,-0.046999998,0.879999995
80,2,GEORGIA,Democrat,COX  E.,0.115000002,1.105000019
80,3,GEORGIA,Democrat,PACE  S.,-0.037,0.987999976
80,4,GEORGIA,Democrat,CAMP  A.,-0.082000002,0.986000001
80,5,GEORGIA,Democrat,DAVIS  J.,0.109999999,0.897000015
80,6,GEORGIA,Democrat,VINSON  C.,-0.129999995,0.822000027
80,7,GEORGIA,Democrat,LANHAM  H.,-0.175999999,0.871999979
80,8,GEORGIA,Democrat,WHEELER  W.,0.172999993,0.985000014
80,9,GEORGIA,Democrat,WOOD  J.,0.150000006,1.01699996
80,10,GEORGIA,Democrat,BROWN  P.,-0.104999997,0.995000005
80,1,IDAHO,Republican,GOFF  A.,0.257999986,-0.264999986
80,2,IDAHO,Republican,SANBORN  J.,0.395999998,-0.272000015
80,1,ILLINOI,Democrat,DAWSON  W.,-0.492000014,0.150000006
80,2,ILLINOI,Republican,VAIL  R.,0.449000001,-0.328000009
80,3,ILLINOI,Republican,BUSBEY  F.,0.444000006,-0.246999994
80,4,ILLINOI,Democrat,GORSKI  M.,-0.314999998,-0.136000007
80,5,ILLINOI,Democrat,SABATH  A.,-0.455000013,-0.275999993
80,6,ILLINOI,Democrat,O'BRIEN  T.,-0.263999999,-0.245000005
80,7,ILLINOI,Republican,OWENS  T.,0.463999987,-0.864000022
80,8,ILLINOI,Democrat,GORDON  T.,-0.34799999,-0.148000002
80,9,ILLINOI,Republican,TWYMAN  R.,0.39199999,-0.920000017
80,10,ILLINOI,Republican,CHURCH  R.,0.42899999,-0.307999998
80,11,ILLINOI,Republican,REED  C.,0.35800001,-0.275999993
80,12,ILLINOI,Republican,MASON  N.,0.513000011,0.007
80,13,ILLINOI,Republican,ALLEN  L.,0.356999993,-0.187999994
80,14,ILLINOI,Republican,JOHNSON  A.,0.533999979,-0.041999999
80,15,ILLINOI,Republican,CHIPERFIELD,0.324000001,-0.404000014
80,16,ILLINOI,Republican,DIRKSEN  E.,0.228,-0.372000009
80,17,ILLINOI,Republican,ARENDS  L.,0.294,-0.307999998
80,18,ILLINOI,Republican,JENISON  E.,0.442000002,-0.277999997
80,19,ILLINOI,Republican,MCMILLEN,0.287999988,-0.151999995
80,20,ILLINOI,Republican,SIMPSON  S.,0.300999999,0.006
80,21,ILLINOI,Republican,HOWELL  E.,0.294999987,-0.470999986
80,22,ILLINOI,Democrat,PRICE  C.,-0.404000014,0.204999998
80,23,ILLINOI,Republican,VURSELL  C.,0.432000011,-0.217999995
80,24,ILLINOI,Republican,CLIPPINGER,0.455000013,-0.412999988
80,25,ILLINOI,Republican,BISHOP  C.,0.432000011,-0.665000021
80,99,ILLINOI,Republican,STRATTON,0.194000006,-0.331999987
80,1,INDIANA,Democrat,MADDEN  R.,-0.372000009,0.027000001
80,2,INDIANA,Republican,HALLECK  C.,0.275000006,-0.372999996
80,3,INDIANA,Republican,GRANT  R.,0.381000012,-0.572000027
80,4,INDIANA,Republican,GILLIE  G.,0.409000009,-0.236000001
80,5,INDIANA,Republican,HARNESS  F.,0.486000001,-0.328000009
80,6,INDIANA,Republican,JOHNSON  N.,0.328999996,-0.551999986
80,7,INDIANA,Republican,LANDIS  G.,0.40200001,-0.270000011
80,8,INDIANA,Republican,MITCHELL,0.261000007,-0.736999989
80,9,INDIANA,Republican,WILSON  E.,0.342999995,-0.259000003
80,10,INDIANA,Republican,SPRINGER,0.39199999,-0.370999992
80,10,INDIANA,Republican,HARVEY  R.,0.263999999,-0.134000003
80,11,INDIANA,Democrat,LUDLOW  L.,-0.130999997,-0.456999987
80,1,IOWA,Republican,MARTIN  T.,0.307999998,0.02
80,2,IOWA,Republican,TALLE  H.,0.26699999,-0.083999999
80,3,IOWA,Republican,GWYNNE  J.,0.395000011,0.162
80,4,IOWA,Republican,LECOMPTE,0.263000011,-0.119000003
80,5,IOWA,Republican,CUNNINGHAM,0.214000002,-0.195999995
80,6,IOWA,Republican,DOLLIVER,0.291999996,-0.015
80,7,IOWA,Republican,JENSEN  B.,0.386000007,0.094999999
80,8,IOWA,Republican,HOEVEN  C.,0.27700001,-0.021
80,1,KANSAS,Republican,COLE  A.,0.263999999,-0.189999998
80,2,KANSAS,Republican,SCRIVNER,0.442999989,-0.204999998
80,3,KANSAS,Republican,MEYER  H.,0.352999985,-0.063000001
80,4,KANSAS,Republican,REES  E.,0.326000005,-0.174999997
80,5,KANSAS,Republican,HOPE  C.,0.202999994,-0.059
80,6,KANSAS,Republican,SMITH  W.,0.561999977,0.372999996
80,1,KENTUCK,Democrat,GREGORY  N.,-0.152999997,0.947000027
80,2,KENTUCK,Democrat,CLEMENTS,-0.143999994,0.264999986
80,2,KENTUCK,Democrat,WHITAKER,-0.248999998,0.967000008
80,3,KENTUCK,Republican,MORTON  T.,0.127000004,-0.207000002
80,4,KENTUCK,Democrat,CHELF  F.,-0.136000007,0.615999997
80,5,KENTUCK,Democrat,SPENCE  B.,-0.256000012,0.402999997
80,6,KENTUCK,Democrat,CHAPMAN  V.,0.004,0.693000019
80,7,KENTUCK,Republican,MEADE  W.,0.041000001,-0.458999991
80,8,KENTUCK,Democrat,BATES  J.,-0.209999993,0.614000022
80,9,KENTUCK,Republican,ROBSION  J.,0.328000009,-0.331
80,9,KENTUCK,Republican,LEWIS  W.,0.196999997,-0.430999994
80,1,LOUISIA,Democrat,HEBERT  F.,0.001,0.646000028
80,2,LOUISIA,Democrat,BOGGS  T.,-0.137999997,0.61500001
80,3,LOUISIA,Democrat,DOMENGEAUX,0.039000001,0.671999991
80,4,LOUISIA,Democrat,BROOKS  O.,-0.055,0.815999985
80,5,LOUISIA,Democrat,PASSMAN  O.,0.074000001,0.912
80,6,LOUISIA,Democrat,MORRISON,-0.063000001,0.55400002
80,7,LOUISIA,Democrat,LARCADE  H.,0.035,0.648999989
80,8,LOUISIA,Democrat,ALLEN  A.,-0.015,0.791999996
80,1,MAINE,Republican,HALE  R.,0.202000007,-0.256000012
80,2,MAINE,Republican,SMITH  M.C.,0.048,-0.959999979
80,3,MAINE,Republican,FELLOWS  F.,0.356000006,0.008
80,1,MARYLAN,Republican,MILLER  E.,0.340999991,-0.263000011
80,2,MARYLAN,Democrat,MEADE  H.,0.005,0.097999997
80,3,MARYLAN,Democrat,D'ALESANDRO,-0.114,0.127000004
80,3,MARYLAN,Democrat,GARMATZ  E.,-0.192000002,-0.045000002
80,4,MARYLAN,Democrat,FALLON  G.,-0.028999999,-0.027000001
80,5,MARYLAN,Democrat,SASSCER  L.,-0.115999997,0.156000003
80,6,MARYLAN,Republican,BEALL  J.,0.214000002,-0.657999992
80,1,MASSACH,Republican,HESELTON,0.089000002,-0.880999982
80,2,MASSACH,Republican,CLASON  C.,0.143000007,-0.551999986
80,3,MASSACH,Democrat,PHILBIN  P.,-0.083999999,-0.233999997
80,4,MASSACH,Democrat,DONOHUE  H.,-0.166999996,-0.234999999
80,5,MASSACH,Republican,ROGERS  E.,0.101000004,-0.481999993
